ID,Zip_Code,Population,Population_Density,Housing_Units,Median_Home_Value,Occupied_Housing_Units,Median_Household_Income,Gender_Male,Gender_Female,Race_White,Race_Black,Race_Indian,Race_Asian,Race_Hawaiian,Race_Other,Race_Mixed,Whole_Family,Single_Guardian,Singles,Single_With_Roomate,Owned_With_Mortgage,Owned_No_Mortgage,Renter,Vacant,Full_Time,Part_Time,Unemployed
1,77062,25152,4637,9910,160100,9408,87960,12495,12657,18848,1217,112,3219,31,998,727,5878,1288,1873,369,5239,2275,1894,502,9664,4927,5915
2,77048,15294,1380,6501,81200,5223,36818,7047,8247,1740,12371,53,118,4,771,237,1752,2076,1171,224,2057,1211,1955,1278,4335,2468,5484
3,77055,41989,5023,16005,230300,14152,46987,21904,20085,27708,1559,359,1492,16,9273,1582,6309,3178,3446,1219,3983,2399,7770,1853,14966,7466,9677
4,77085,16074,3036,4857,106600,4571,49466,7879,8195,5886,5226,120,326,4,3805,707,2436,1242,726,167,2636,729,1206,286,5642,2191,3784
5,77082,49900,3975,23058,124000,20374,50294,23719,26181,19857,16229,260,6998,17,4649,1890,7488,4631,6816,1439,6304,1484,12586,2684,20248,8809,10447
6,77080,45275,7093,16376,130600,14741,38159,23780,21495,26555,2282,477,1513,13,12560,1875,6546,3721,3419,1055,3564,2489,8688,1635,14906,10585,10971
7,77033,27965,4680,10082,65600,9005,27272,13239,14726,3318,21074,98,128,9,2921,417,2813,3809,2021,362,2592,3181,3232,1077,6278,4184,10414
8,77036,71969,10113,30117,113900,24878,28266,38001,33968,28218,12398,809,10252,123,16538,3631,9360,6963,6481,2074,2838,2502,19538,5239,17204,15985,16067
9,77043,23358,1567,9392,140800,8251,54359,11760,11598,15567,1219,178,1769,23,3814,788,4071,1680,1973,527,3072,1892,3287,1141,9242,3643,5710
10,77017,32561,3745,10770,86400,9573,35586,16542,16019,20419,1025,270,1373,1,8445,1028,4814,2369,1931,459,3015,2181,4377,1197,10287,4570,9735
11,77042,36385,5821,20521,211900,17634,46159,17769,18616,18164,9758,200,2905,31,4037,1290,5470,3101,7478,1585,3288,1748,12598,2887,16471,6867,6411
12,77489,35554,3164,12085,108900,11516,58315,16567,18987,4326,27079,111,734,7,2531,766,5668,3582,1935,331,7467,1605,2444,569,12760,6134,8158
13,77053,28954,2352,8651,85800,8133,46568,14029,14925,9347,13006,157,278,16,5204,946,4083,2667,1165,218,4060,1745,2328,518,10188,5615,7484
14,77013,17602,2013,6155,84900,5192,36829,9250,8352,8867,3581,411,112,11,3950,670,2238,1638,1010,306,1262,999,2931,963,5742,3482,4891
15,77099,47091,7570,17439,96300,15167,35252,23107,23984,15278,14318,324,7084,26,8219,1842,6580,4358,3475,754,4711,1599,8857,2272,13659,8289,12007
16,77035,35896,6295,15355,156300,13071,36345,17428,18468,16193,11287,231,1930,14,5081,1160,4932,3598,3616,925,3932,1872,7267,2284,12094,5768,8741
17,77021,26042,4284,11810,83900,10003,31103,12056,13986,3421,19624,88,366,12,2035,496,2648,3482,3128,745,2213,2309,5481,1807,6815,4723,8984
18,77026,23940,3695,10111,59600,8364,20024,11863,12077,4927,13873,124,74,7,4304,631,2399,3031,2435,499,1236,2258,4870,1747,4441,3839,8809
19,77093,46929,3902,13858,75200,12415,31725,24198,22731,24667,5713,520,179,16,14162,1672,6231,3644,2006,534,3037,4103,5275,1443,10894,6362,13176
20,77088,49660,4440,17680,93400,15721,40896,24066,25594,14596,23948,423,1827,14,7631,1221,7006,4975,3102,638,6959,3350,5412,1959,15244,8754,14103
21,77028,16808,1833,6457,59100,5684,29389,8118,8690,2077,12595,47,20,4,1748,317,1800,2251,1417,216,1466,2159,2059,773,4318,2324,5761
22,77034,33678,2453,12778,99700,11043,43905,16861,16817,19712,3880,303,1201,29,7311,1242,5083,2802,2567,591,3844,1523,5676,1735,11990,6425,6928
